id,population-density,Lat-top,Long-left,Lat-bottom,Long-right
1,21.426276903308707,42.604997,-73.310158,42.490639,-73.225908
2,58.548180654598646,42.725203,-73.286381,42.618029,-73.207581
3,336.7724867724868,42.108184,-71.497872,42.04518,-71.451108
4,330.6954436450839,42.094426,-71.270367,42.02825,-71.221237
5,421.5316315205327,42.122531,-71.438529,42.047187,-71.382613
6,428.305582761998,42.050047,-71.241629,41.984553,-71.192971
7,171.11897390535162,42.087129,-71.382444,42.018213,-71.331272
8,86.22420524261015,41.815793,-71.081924,41.754433,-71.03617
9,647.9323984178353,41.969868,-71.322933,41.893438,-71.266073
10,93.90142021720969,41.840125,-71.176237,41.789977,-71.138861
11,1142.2770700636943,41.75202,-71.13991,41.700666,-71.101582
12,2068.976897689769,41.692968,-71.161609,41.657282,-71.134953
13,3954.945054945055,41.702473,-71.13702,41.682937,-71.122432
14,3483.5390946502057,41.695226,-71.185931,41.672646,-71.169069
15,206.5868263473054,41.738937,-71.197561,41.706505,-71.173355
16,922.9317851959362,41.778716,-71.158777,41.740684,-71.130407
17,139.3879173290938,41.718414,-71.054363,41.615612,-70.977567
18,589.724175229854,42.003649,-71.358372,41.941337,-71.312044
19,302.25694444444446,42.037393,-71.354875,41.988207,-71.318329
20,760.4395604395604,41.973624,-71.313329,41.959768,-71.303027
21,138.59154929577466,41.875578,-71.171214,41.82828,-71.135982
22,229.98976458546574,41.996674,-71.208242,41.918208,-71.149892
23,213.27250103691415,41.976577,-71.074966,41.905415,-71.022032
24,90.14321819713564,41.896896,-71.281698,41.79703,-71.207306
25,284.36324556689954,41.869015,-71.343721,41.806487,-71.297135
26,250.65294815987338,41.794599,-71.241373,41.721751,-71.187031
27,125.47332185886403,41.868311,-71.100152,41.807811,-71.055078
28,621.0923881464265,41.951623,-71.149983,41.866601,-71.086709
29,110.97885669537979,41.657078,-71.12567,41.541274,-71.039072
30,2142.857142857143,41.955483,-71.458726,41.948777,-71.45374
31,413.8690861957226,41.76322,-71.340975,41.706286,-71.298489
32,451.94174757281553,41.708621,-71.297898,41.642839,-71.248764
33,67.01293194827221,41.945702,-71.737601,41.846162,-71.663507
34,25.058548009367684,41.7896,-71.659118,41.75966,-71.63679
35,329.19117647058823,41.738334,-71.653681,41.645758,-71.584551
36,46.225863077823284,41.688989,-71.717146,41.585219,-71.639592
37,317.38613861386136,41.679332,-71.512931,41.606506,-71.458507
38,37.04174228675136,41.835857,-71.766943,41.728277,-71.686723
39,626.4077669902912,41.896534,-71.57656,41.863632,-71.552064
40,122.8140703517588,42.007308,-71.67826,41.942652,-71.630192
41,110.95890410958904,41.800288,-71.639325,41.749236,-71.601253
42,199.20265780730895,41.538198,-71.399416,41.481978,-71.357316
43,1033.5526315789473,41.97417,-71.483006,41.956328,-71.46974
44,171.26948775055678,41.956103,-71.652928,41.925411,-71.630098
45,285.84768018675226,41.630973,-71.491553,41.546131,-71.428097
46,74.53592487442673,41.871794,-71.670145,41.773728,-71.597065
47,3635.438596491228,41.887682,-71.401559,41.853072,-71.375787
48,3106.5217391304345,41.892502,-71.36348,41.864704,-71.342782
49,5846.875,41.898256,-71.399579,41.881872,-71.387383
50,486.65720369056066,42.00607,-71.449081,41.929128,-71.391873
51,407.0034443168771,41.943391,-71.470848,41.882899,-71.425832
52,336.62516101331045,41.622232,-71.287427,41.552286,-71.235111
53,44.86166007905139,41.620059,-71.338732,41.573963,-71.30426
54,230.66914498141264,41.651311,-71.211255,41.568965,-71.149687
55,591.7336394948335,41.746351,-71.274339,41.703567,-71.242407
56,799.6493278784337,41.733819,-71.477944,41.673879,-71.433192
57,1244.9579831932774,41.767036,-71.420566,41.728306,-71.39167
